Genre,Style,Category,Variation,Video
Waltzes,Cross-Step Waltz,Shadow Position,Skater's at His Left to Hammerlock at His Right,https://www.youtube.com/watch?v=4bQZ-fnDtEo
Waltzes,Cross-Step Waltz,Shadow Position,Hammerlock at His Right to Skater's at His Right,https://www.youtube.com/watch?v=tSK1BN-v-MY
Waltzes,Cross-Step Waltz,Shadow Position,Face Loop out of Skater's Position,https://www.youtube.com/watch?v=lVZ6i5vZLt8
Waltzes,Cross-Step Waltz,Shadow Position,Shadow Mixmaster,https://www.youtube.com/watch?v=VqPb6Z6UROg
Waltzes,Cross-Step Waltz,Shadow Position,Shadow Mixmaster (Super Speed Version),https://www.youtube.com/watch?v=XikSQaxTiA8
Waltzes,Cross-Step Waltz,Shadow Position,Free Spin out of Shadow Position,https://www.youtube.com/watch?v=AVXKBxmb0_g
Waltzes,Cross-Step Waltz,Shadow Position,Face Loop out of Shadow Position,https://www.youtube.com/watch?v=8K__jfiG3lk
Waltzes,Cross-Step Waltz,Hesitations,Hesitating Side Sway,https://www.youtube.com/watch?v=c15QE0jdT6Y
Waltzes,Cross-Step Waltz,Hesitations,Hesitating Dip,https://www.youtube.com/watch?v=FtmuBsYexZo
Waltzes,Cross-Step Waltz,Role Reversal,Orbits to Role Reversal,https://www.youtube.com/watch?v=QOdCskjwQdg
Waltzes,Cross-Step Waltz,Role Reversal,Stop and Go to Role Reversal,https://www.youtube.com/watch?v=9leXXpc0XxQ
Waltzes,Cross-Step Waltz,Transitions,Transition to and from Box Waltz,https://www.youtube.com/watch?v=_i1qyCYllqk
